Key,English(en),German(de),Hindi(hi),Notes(no),
helloWorld,Hello World!,Hallo Welt!,हैलो वर्ल्ड!,,
example2,"Keys should be unique. We can also use variables like {PlayerName}, I can make it so that these will be replaced with the proper text in the game.",Blablahblah deutsch,,,
startUI.B1,Play,Spiel Starten,(wait with translations until the texts are final),,
startUI.B2,Credits,Credits,,,
startUI.B3,Quit,Verlassen,,,
startUI.BackToLanguage,Sprachauswahl,Language Settings,,,
startUI.BackButton,Back,Zurück,,,
phoneUI.IsTyping,{FriendFirstName} is typing...,{FriendFirstName} schreibt gerade...,,,
,,,,,
loginUI.Account,account-name,Account-Name,,,
loginUI.Password,password,Passwort,,,
loginUI.Back,back,Zurück,,,
loginUI.Enter,enter,Einloggen,,,
,,,,,
aboutMe.Title,About me,Über mich,,,
aboutMe.Birthday,Birthday,Geburtstag,,,
aboutMe.Location,Location,Wohnort,,,
,,,,,
,,,,,
,,,,,
introUI.S1,Welcome to {gametitle}!,Willkommen bei {gametitle}!,,"nope, not gonna add those",
introUI.S2,This game is about digital literacy and more specifically about how to be mindful about creating and handling passwords & access information on your social media platform(s).,,,,
introUI.S3,Use the Cellphone Icon in the bottom right corner of your screen to get instructions and ask for help if needed.,,,,
introUI.S4,Press {key} to beginn.,,,,
,,,,,
,,,,,
level1.Dialogue1.1.C1,"Hey, how are you? I’m sorry to bother you, but I forgot my password to my Friendbook-account. Could you help me access my account?","Hey, wie gehts dir? Entschuldige die Störung, aber ich habe irgendwie meine Logindaten für meinen Friendbook-Account vergesssen. Könntest du mir vielleicht helfen den Zugang zu meinem Account wiederzuerlangen?",,"Hey, how are you? I’m sorry to bother you, but I forgot my password to my Friendbook-account. You know I trust you and I remember that you’re really good with computers and such - could you maybe help me out and access my account for me?","Hey, wie gehts dir? Entschuldige bitte falls ich störe, aber ich habe irgendwie meine Logindaten für meinen Friendbook-Account vergesssen. Du weißt ich vertraue dir, und ich erinnere mich dass du immer sehr gut mit Computern und so warst - könntest du mir vielleicht helfen den Zugang zu meinem Account wiederzuerlangen?"
level1.Dialogue1.2A.P,Hey Tara!,Hallo Tara!,,,
level1.Dialogue1.2B.P,"Sure, I’d love to help out! Let’s check out your profile.",Gerne helfe ich dir! Lass uns mal dein Profil anschauen.,,,
,,,,,
level1.Dialogue1.3.C1,How can my profile be of any help?,Wie kann mein Profil hilfreich sein?,,,
